ID	Name	Genes	Subsystem
RXN-6021	Choline dehydrogenase	TD01GL002123	Unassigned
DEOXYRIBOSE-P-ALD-RXN	Deoxyribose-phosphate aldolase	TD01GL000926	Alternate Carbon Metabolism
THREONINE-ALDOLASE-RXN	Threonine aldolase	TD01GL002593;TD01GL000854	Threonine and Lysine Metabolism
ALATA_L2	Alanine transaminase	TD01GL002593;TD01GL000854	Cofactor and Prosthetic Group Biosynthesis
R00945	Glycine hydroxymethyltransferase, reversible	TD01GL002593	Glycine and Serine Metabolism
R02300_copy1	Tetrahydrofolate aminomethyltransferase	TD01GL002593	Folate Metabolism
R02300_copy2	Aminomethyltransferase	TD01GL000022	Folate Metabolism
THRA2	L-allo-Threonine Aldolase	TD01GL002593;TD01GL000854	Threonine and Lysine Metabolism
RXN0-5240	D-alanine transaminase	TD01GL002593;TD01GL000423;TD01GL000854	Cofactor and Prosthetic Group Biosynthesis
4HTHRA	4-hydroxy-L-threonine aldolase	TD01GL000854	Glycine and Serine Metabolism
SIROHEME-FERROCHELAT-RXN	Sirohydrochlorin ferrochelatase	TD01GL001649;TD01GL000883	Cofactor and Prosthetic Group Biosynthesis
DIMETHUROPORDEHYDROG-RXN	Sirohydrochlorin dehydrogenase (NAD)	TD01GL001649;TD01GL000883	Cofactor and Prosthetic Group Biosynthesis
RXN-13403	Uroporphyrinogen methyltransferase	TD01GL001649;TD01GL000883	Cofactor and Prosthetic Group Biosynthesis
RXN0-1461	Coproporphyrinogen oxidase (O2 required)	TD01GL000640	Cofactor and Prosthetic Group Biosynthesis
GLUTATHIONE-REDUCT-NADPH-RXN	Glutathione oxidoreductase	TD01GL001861	Cofactor and Prosthetic Group Biosynthesis
DHORD2	Dihydoorotic acid dehydrogenase (quinone8)	TD01GL001120	Purine and Pyrimidine Biosynthesis
DHORD5	Dihydroorotic acid (menaquinone-8)	TD01GL001120	Purine and Pyrimidine Biosynthesis
GLYCTO2	Glycolate oxidase	TD01GL003032;TD01GL003030;TD01GL003031	Alternate Carbon Metabolism
GLYCTO4	Glycolate oxidase	TD01GL003032;TD01GL003030;TD01GL003031	Alternate Carbon Metabolism
GLYCTO3	Glycolate oxidase	TD01GL003032;TD01GL003030;TD01GL003031	Alternate Carbon Metabolism
PFK	Phosphofructokinase	TD01GL002038	Glycolysis/Gluconeogenesis
TAGAKIN-RXN	Phosphofructokinase	TD01GL002038	Alternate Carbon Metabolism
RXN0-6541	Phosphofructokinase (s7p)	TD01GL002038	Pentose Phosphate Pathway
RXN0-2381	Tryptophan synthase (indoleglycerol phosphate)	TD01GL002722;TD01GL002723	Tyrosine, Tryptophan, and Phenylalanine Metabolism
TRYPSYN-RXN	Tryptophan synthase (indoleglycerol phosphate)	TD01GL002722;TD01GL002723	Tyrosine, Tryptophan, and Phenylalanine Metabolism
RXN0-2382	Tryptophan synthase (indole)	TD01GL002722;TD01GL002723	Tyrosine, Tryptophan, and Phenylalanine Metabolism
G3PD5	Glycerol-3-phosphate dehydrogenase (ubiquinone-8)	TD01GL002131	Oxidative Phosphorylation
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	Leucine transaminase (irreversible)	TD01GL000683	Valine, Leucine, and Isoleucine Metabolism
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	Isoleucine transaminase	TD01GL000683	Valine, Leucine, and Isoleucine Metabolism
TYROSINE-AMINOTRANSFERASE-RXN	Tyrosine transaminase	TD01GL000683;TD01GL001646	Tyrosine, Tryptophan, and Phenylalanine Metabolism
PHEAMINOTRANS-RXN	Phenylalanine transaminase	TD01GL000683;TD01GL001646	Tyrosine, Tryptophan, and Phenylalanine Metabolism
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	Valine transaminase	TD01GL000683	Valine, Leucine, and Isoleucine Metabolism
SHIKIMATE-5-DEHYDROGENASE-RXN	Shikimate dehydrogenase	TD01GL000641	Tyrosine, Tryptophan, and Phenylalanine Metabolism
GLUTSEMIALDEHYDROG-RXN	Glutamate-5-semialdehyde dehydrogenase	TD01GL001559	Arginine and Proline Metabolism
RIBOFLAVINSYNDEAM-RXN	Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp)	TD01GL002574	Cofactor and Prosthetic Group Biosynthesis
RIBOFLAVINSYNREDUC-RXN	5-amino-6-(5-phosphoribosylamino)uracil reductase	TD01GL002574	Cofactor and Prosthetic Group Biosynthesis
R07281	3,4-Dihydroxy-2-butanone-4-phosphate synthase	TD01GL002573	Cofactor and Prosthetic Group Biosynthesis
FADSYN-RXN	FMN adenylyltransferase	TD01GL003251	Cofactor and Prosthetic Group Biosynthesis
RIBOFLAVINKIN-RXN	Riboflavin kinase	TD01GL003251	Cofactor and Prosthetic Group Biosynthesis
RXN0-5187	Acid phosphatase (FMN)	TD01GL003699	Cofactor and Prosthetic Group Biosynthesis
RIBOPHOSPHAT-RXN	Pyrimidine phosphatase	TD01GL003699	Cofactor and Prosthetic Group Biosynthesis
RIBOFLAVIN-SYN-RXN	Riboflavin synthase	TD01GL001664	Cofactor and Prosthetic Group Biosynthesis
FPPSYN-RXN	Geranyltranstransferase	TD01GL003631	Cofactor and Prosthetic Group Biosynthesis
GPPSYN-RXN	Dimethylallyltranstransferase	TD01GL003631	Cofactor and Prosthetic Group Biosynthesis
UROGENIIISYN-RXN	Uroporphyrinogen-III synthase	TD01GL003708	Cofactor and Prosthetic Group Biosynthesis
UROGENDECARBOX-RXN	Uroporphyrinogen decarboxylase (uroporphyrinogen III)	TD01GL003637	Cofactor and Prosthetic Group Biosynthesis
URA-PHOSPH-RXN	Deoxyuridine phosphorylase	TD01GL000925;TD01GL000923	Nucleotide Salvage Pathway
THYM-PHOSPH-RXN	Thymidine phosphorylase	TD01GL000925	Nucleotide Salvage Pathway
RXN0-5224	HCO3 equilibration reaction	TD01GL001862	Unassigned
IMPCYCLOHYDROLASE-RXN	IMP cyclohydrolase	TD01GL002047	Purine and Pyrimidine Biosynthesis
R04560	Phosphoribosylaminoimidazolecarboxamide formyltransferase	TD01GL002047	Purine and Pyrimidine Biosynthesis
IMP-DEHYDROG-RXN	IMP dehydrogenase	TD01GL000781	Purine and Pyrimidine Biosynthesis
RXN-11667	3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	TD01GL001327;TD01GL000992	Membrane Lipid Metabolism
RXN-12490	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	TD01GL001327	Membrane Lipid Metabolism
RXN-14273	3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)	TD01GL001327	Membrane Lipid Metabolism
R04745	3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	TD01GL001327	Membrane Lipid Metabolism
RXN-12567	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	TD01GL001327	Membrane Lipid Metabolism
RXN-12570	3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	TD01GL001327	Membrane Lipid Metabolism
R04170	3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA)	TD01GL001327	Membrane Lipid Metabolism
CTECOAI8	3-cis-2-trans-enoyl-CoA isomerase	TD01GL001327	Membrane Lipid Metabolism
R04746	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	TD01GL001327	Membrane Lipid Metabolism
R04741	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	TD01GL001327	Membrane Lipid Metabolism
RXN-14272	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)	TD01GL001327	Membrane Lipid Metabolism
HACD8	3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal	TD01GL001327	Membrane Lipid Metabolism
RXN-14271	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	TD01GL001327	Membrane Lipid Metabolism
CTECOAI6	3-cis-2-trans-enoyl-CoA isomerase	TD01GL001327	Membrane Lipid Metabolism
ECOAH8	3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA)	TD01GL001327	Membrane Lipid Metabolism
RXN-11662	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	TD01GL001327;TD01GL000991	Membrane Lipid Metabolism
